,ref_point_id,total_area,distance_to_centroid,city,log_distance,log_area
16,16,427606.356350573,3372.3183452142466,Bremerhaven,8.123355723092077,12.965958323201617
17,17,1853875.2769025543,2545.011420502955,Bremerhaven,7.841890416402042,14.432788750408452
18,18,547786.035834013,5477.480249556777,Bremerhaven,8.608400465722688,13.213640044128068
19,19,2603873.252152512,2842.4149216402598,Bremerhaven,7.952409294355387,14.772510606837375
20,20,3382621.9758819584,1809.0558201885203,Bremerhaven,7.500560341850418,15.034161699243706
21,21,1456266.4270519232,1548.7526583896895,Bremerhaven,7.3452051494162545,14.191386476611529
22,22,3171994.398037004,2726.9860962367143,Bremerhaven,7.910952284276197,14.969871095668799
23,23,2783185.7795300237,1583.8613076933011,Bremerhaven,7.3676210102664905,14.839106793411165
24,24,675046.9521987364,6782.366991677771,Bremerhaven,8.822081433825172,13.422537526248508
25,25,2183881.074313835,1709.6306209208856,Bremerhaven,7.4440326150055585,14.5966141612113
26,26,3919287.545685576,5156.789759024351,Bremerhaven,8.548069525142422,15.181420446698779
27,27,4146643.0121970917,3652.616505794968,Bremerhaven,8.203199040664384,15.23780965213685
28,28,525794.0387206185,7065.329385484764,Bremerhaven,8.862954916181144,13.172664853672032
29,29,1983287.845333341,5143.118332559524,Bremerhaven,8.545414853979898,14.500266553464643
30,30,1138642.26900637,6118.004951139479,Bremerhaven,8.71899133398471,13.945347118476283
31,31,444523.1830570337,6773.128591110246,Bremerhaven,8.820718384877026,13.00475748793496
32,32,3090773.4874363216,5140.255550016182,Bremerhaven,8.544858075115298,14.943931937107894
33,33,516095.65885505045,7281.032712208234,Bremerhaven,8.89302798720267,13.154047412659958
34,34,4929704.502034914,3869.624789566163,Bremerhaven,8.260912827723049,15.410789605487164
35,35,2525446.9841005597,6154.412020211371,Bremerhaven,8.724924505251385,14.741928628430966
36,36,22909.629955887794,7044.984133147791,Bremerhaven,8.860071172115594,10.039312623238867
37,37,717177.1453824625,5224.9313654522975,Bremerhaven,8.561196940948133,13.48307815375593
38,38,539081.3776649053,5591.009840220562,Bremerhaven,8.628915201035928,13.197621817465096
39,39,3463153.2199829947,4059.9120266840414,Bremerhaven,8.308916584056593,15.05769006727526
40,40,4337391.670014563,917.2975030261543,Bremerhaven,6.821431850421154,15.282783727712586
41,41,2558153.054260903,3841.8956332408734,Bremerhaven,8.253721178264291,14.754796092896607
42,42,2060689.6258927737,4380.129996733033,Bremerhaven,8.384833682549475,14.5385512545937
43,43,383930.0900434358,6600.704241023324,Bremerhaven,8.79493162550749,12.858215757816891
44,44,933706.1644697469,7363.278762845607,Bremerhaven,8.904260596606631,13.746917068645518
45,45,3294541.7205553,3948.4640228467056,Bremerhaven,8.281081927295949,15.007777632954507
0,0,4383914.612876113,2830.6235136514542,Bottrop,7.948252289214807,15.293452630430371
1,1,4261463.5929318275,4471.000995146171,Bottrop,8.40536759881194,15.265123225656048
2,2,3125688.1650947225,3867.88118735721,Bottrop,8.260462139285801,14.955165029739664
3,3,1118179.5301596601,7493.570945003336,Bottrop,8.921800724579212,13.927212501343504
4,4,3923138.509416558,4389.89012200523,Bottrop,8.3870594766,15.182402531582573
5,5,1044483.1240980884,1718.865572996716,Bottrop,7.449419801625025,13.859032702929218
6,6,539949.9821342574,6886.96225833507,Bottrop,8.837385375398286,13.199231788573133
